"Date","Price","Open","High","Low","Vol.","Change %"
"02/07/2022","9.3129","9.3070","9.3329","9.3033","51.58K","0.09%"
"02/04/2022","9.3045","9.2791","9.3271","9.2624","56.33K","0.29%"
"02/03/2022","9.2775","9.3537","9.3663","9.2721","69.35K","-0.79%"
"02/02/2022","9.3511","9.3801","9.3846","9.3379","46.15K","-0.28%"
"02/01/2022","9.3776","9.4118","9.4270","9.3720","43.45K","-0.35%"
"01/31/2022","9.4101","9.4380","9.4572","9.4006","18.73K","-0.29%"
"01/28/2022","9.4372","9.4096","9.4459","9.4031","33.89K","0.32%"
"01/27/2022","9.4070","9.3519","9.4175","9.3460","31.09K","0.61%"
"01/26/2022","9.3503","9.3099","9.3572","9.3039","30.52K","0.46%"
"01/25/2022","9.3074","9.2903","9.3295","9.2874","32.25K","0.22%"
"01/24/2022","9.2873","9.2785","9.3086","9.2765","37.11K","0.12%"
"01/21/2022","9.2760","9.2915","9.2971","9.2680","19.56K","-0.14%"
"01/20/2022","9.2890","9.2760","9.2962","9.2567","24.62K","0.17%"
"01/19/2022","9.2735","9.2840","9.2902","9.2629","20.31K","-0.09%"
"01/18/2022","9.2815","9.2375","9.2913","9.2247","88.82K","0.50%"
"01/17/2022","9.2350","9.2306","9.2474","9.2138","40.09K","0.07%"
"01/14/2022","9.2281","9.2142","9.2396","9.1888","34.66K","0.18%"
"01/13/2022","9.2117","9.2125","9.2186","9.1867","31.78K","0.02%"
"01/12/2022","9.2100","9.2554","9.2652","9.2003","43.41K","-0.46%"
"01/11/2022","9.2524","9.2760","9.2863","9.2503","18.09K","-0.22%"
"01/10/2022","9.2725","9.2580","9.3027","9.2552","32.36K","0.18%"
"01/07/2022","9.2555","9.2775","9.2914","9.2560","52.87K","-0.21%"
"01/06/2022","9.2750","9.2685","9.2915","9.2573","57.72K","0.09%"
"01/05/2022","9.2665","9.2775","9.2880","9.2419","48.85K","-0.08%"
"01/04/2022","9.2735","9.2735","9.2899","9.2575","52.29K","0.00%"
"01/03/2022","9.2735","9.2555","9.2875","9.2351","43.35K","0.27%"
"12/31/2021","9.2487","9.2500","9.2951","9.2388","31.02K","0.02%"
"12/30/2021","9.2464","9.2374","9.2647","9.2273","40.89K","0.12%"
"12/29/2021","9.2349","9.2787","9.3028","9.2247","45.36K","-0.43%"
